date,equity
2021-03-01,999200.0
2021-03-02,958879.5081680289
2021-03-03,939085.1769496358
2021-03-04,866039.692999827
2021-03-05,885597.3904654277
2021-03-08,852415.75995975
2021-03-09,931366.7728777927
2021-03-10,932693.7797208548
2021-03-11,979336.5755044628
2021-03-12,957403.3397164735
2021-03-15,955248.7769884915
2021-03-16,956015.6033983798
2021-03-17,971720.6392845506
2021-03-18,948132.7841007285
2021-03-19,974088.516786036
2021-03-22,952903.8726086922
2021-03-23,911931.2032446875
2021-03-24,874680.0540377332
2021-03-25,856961.8669733065
2021-03-26,826818.8373873176
2021-03-29,811136.6212280323
2021-03-30,827734.7601228326
2021-03-31,847795.8635315311
2021-04-01,876966.7184330862
2021-04-05,872557.5581726325
2021-04-06,859635.6464105269
2021-04-07,857001.3932978965
2021-04-08,867826.433544022
2021-04-09,872112.738685699
2021-04-12,849822.6264355433
2021-04-13,837531.421700987
2021-04-14,829140.0504011181
2021-04-15,832474.1802590373
2021-04-16,829679.2717419578
2021-04-19,806603.3569095177
2021-04-20,794285.2826747054
2021-04-21,834463.7197916771
2021-04-22,826911.2895123821
2021-04-23,850228.6148626385
2021-04-26,863620.855546641
2021-04-27,860801.9455790444
2021-04-28,854950.8527756942
2021-04-29,847362.4927569558
2021-04-30,831628.508395559
2021-05-03,825363.8797142114
2021-05-04,801226.6705017162
2021-05-05,811997.8368722614
2021-05-06,818888.3204830807
2021-05-07,833243.8042192772
2021-05-10,782874.0813946587
2021-05-11,780281.3788653989
2021-05-12,744105.5354067441
2021-05-13,767859.2610081101
2021-05-14,790423.4252988161
2021-05-17,782810.4292108106
2021-05-18,777746.8084741811
2021-05-19,781214.3127140251
2021-05-20,802111.0672708107
2021-05-21,792634.4711319242
2021-05-24,817530.9599763942
2021-05-25,831428.3226633621
2021-05-26,826513.8946262933
2021-05-27,831387.3803664423
2021-05-28,838093.3330679141
2021-06-01,836387.2006794326
2021-06-02,838929.8286514509
2021-06-03,824547.2431098396
2021-06-04,847161.1692526259
2021-06-07,841926.894609913
2021-06-08,832546.6397311082
2021-06-09,829293.8439228581
2021-06-10,842572.6846938187
2021-06-11,847066.3554918771
2021-06-14,859211.8625057088
2021-06-15,854022.788551168
2021-06-16,850184.0323396772
2021-06-17,865884.7807560342
2021-06-18,851215.9187028809
2021-06-21,853160.8045089875
2021-06-22,866903.8991527512
2021-06-23,866805.5598405084
2021-06-24,866800.4052219543
2021-06-25,862412.5222745952
2021-06-28,880391.6079937129
2021-06-29,899732.5193102269
2021-06-30,892941.1510122535
2021-07-01,889017.3024631941
2021-07-02,887209.4576345668
2021-07-06,903605.8957204984
2021-07-07,899283.1255575012
2021-07-08,870443.5284350589
2021-07-09,881546.1753852464
2021-07-12,882724.5278760989
2021-07-13,884207.6779385378
2021-07-14,870266.7541467791
2021-07-15,851630.4405940481
2021-07-16,841601.4740140847
2021-07-19,849948.8661615415
2021-07-20,857026.9168628383
2021-07-21,875707.5541877483
2021-07-22,883980.4136600068
2021-07-23,897325.3603680577
2021-07-26,897371.4723332385
2021-07-27,882507.9386902559
2021-07-28,878491.5659775478
2021-07-29,877736.0938939669
2021-07-30,872687.9943137763
2021-08-02,879328.5418540934
2021-08-03,887837.5094233752
2021-08-04,917716.3196302163
2021-08-05,903866.80870294
2021-08-06,889882.630784364
2021-08-09,885801.4607910055
2021-08-10,877985.0152955679
2021-08-11,875666.7345790856
2021-08-12,878202.6164012302
2021-08-13,887390.9470378789
2021-08-16,884056.8354266288
2021-08-17,872964.2850138685
2021-08-18,853945.2725441868
2021-08-19,869253.9145346878
2021-08-20,889403.0238837465
2021-08-23,925372.3718750724
2021-08-24,922989.3960062871
2021-08-25,933356.9595614141
2021-08-26,915536.368560574
2021-08-27,928195.2551803796
2021-08-30,932999.8852364832
2021-08-31,926083.094995357
2021-09-01,931348.7067791724
2021-09-02,927753.1270436216
2021-09-03,936550.3993902582
2021-09-07,925704.5598492816
2021-09-08,919716.9592221905
2021-09-09,924602.5308450097
2021-09-10,927135.1521512435
2021-09-13,920302.7976323229
2021-09-14,919353.1560284276
2021-09-15,927164.1862702972
2021-09-16,946115.6065699626
2021-09-17,937965.1445185863
2021-09-20,921479.5085404648
2021-09-21,924724.1690061984
2021-09-22,927580.4819262443
2021-09-23,933952.1702346723
2021-09-24,943570.2102135287
2021-09-27,927138.2489973113
2021-09-28,890279.457027721
2021-09-29,887653.7805027508
2021-09-30,895423.0656368147
2021-10-01,898425.8289863376
2021-10-04,865816.804310844
2021-10-05,879801.6221937519
2021-10-06,901278.7865466328
2021-10-07,911874.6498151068
2021-10-08,906907.753112766
2021-10-11,898596.5354094692
2021-10-12,908561.0644657365
2021-10-13,929758.8286292664
2021-10-14,947712.967658373
2021-10-15,953522.0673791865
2021-10-18,971702.581638563
2021-10-19,970730.0349768789
2021-10-20,967811.2780984566
2021-10-21,982118.6171843219
2021-10-22,981543.8603322869
2021-10-25,990500.9171454302
2021-10-26,1012084.174633564
2021-10-27,1012799.11654465
2021-10-28,1029391.6013949886
2021-10-29,1047720.7968635058
2021-11-01,1095372.6955273151
2021-11-02,1099431.020871544
2021-11-03,1123318.587980019
2021-11-04,1193773.978784847
2021-11-05,1187336.382174079
2021-11-08,1224543.6423631853
2021-11-09,1170278.8250137235
2021-11-10,1145403.2347505542
2021-11-11,1172873.877500144
2021-11-12,1167422.5944262003
2021-11-15,1151703.6965143443
2021-11-16,1185260.843231344
2021-11-17,1183293.6198192148
2021-11-18,1226596.8787411258
2021-11-19,1259780.7349702523
2021-11-22,1246517.8562118302
2021-11-23,1219521.055013052
2021-11-24,1255559.0122574433
2021-11-26,1219946.24414765
2021-11-29,1282738.62911652
2021-11-30,1253424.492299536
2021-12-01,1180881.1593593545
2021-12-02,1205365.57117395
2021-12-03,1157170.09189709
2021-12-06,1128495.970904007
2021-12-07,1200900.196900402
2021-12-08,1193455.853908157
2021-12-09,1151839.6943241237
2021-12-10,1144949.125673659
2021-12-13,1095273.3312041915
2021-12-14,1091717.302313856
2021-12-15,1141075.833022907
2021-12-16,1080904.6508626086
2021-12-17,1082466.6601403367
2021-12-20,1064831.1896233326
2021-12-21,1096582.146123087
2021-12-22,1108943.9146761615
2021-12-23,1117565.8300589565
2021-12-27,1156865.636940955
2021-12-28,1129136.8063667766
2021-12-29,1124066.662638311
2021-12-30,1109979.130475293
2021-12-31,1105342.714958791
2022-01-03,1098815.381776395
2022-01-04,1064945.1512146895
2022-01-05,1008581.4162259905
2022-01-06,1007400.919828242
2022-01-07,975638.8574652199
2022-01-10,980929.952936311
2022-01-11,1006447.0408000282
2022-01-12,1021630.9689338058
2022-01-13,982217.49668965
2022-01-14,1006798.8179266534
2022-01-18,970200.7058471489
2022-01-19,937695.0775030977
2022-01-20,909912.4277821518
2022-01-21,879687.8639837835
2022-01-24,887465.0146541425
2022-01-25,887465.0146541425
2022-01-26,887465.0146541425
2022-01-27,887465.0146541425
2022-01-28,887465.0146541425
2022-01-31,887465.0146541425
2022-02-01,887465.0146541425
2022-02-02,887465.0146541425
2022-02-03,887465.0146541425
2022-02-04,887465.0146541425
2022-02-07,887465.0146541425
2022-02-08,887465.0146541425
2022-02-09,887465.0146541425
2022-02-10,887465.0146541425
2022-02-11,887465.0146541425
2022-02-14,887465.0146541425
2022-02-15,887465.0146541425
2022-02-16,887465.0146541425
2022-02-17,887465.0146541425
2022-02-18,887465.0146541425
2022-02-22,887465.0146541425
2022-02-23,887465.0146541425
2022-02-24,887465.0146541425
2022-02-25,887465.0146541425
2022-02-28,887465.0146541425
2022-03-01,887465.0146541425
2022-03-02,887465.0146541425
2022-03-03,887465.0146541425
2022-03-04,887465.0146541425
2022-03-07,887465.0146541425
2022-03-08,887465.0146541425
2022-03-09,887465.0146541425
2022-03-10,887465.0146541425
2022-03-11,887465.0146541425
2022-03-14,887465.0146541425
2022-03-15,887465.0146541425
2022-03-16,887465.0146541425
2022-03-17,887465.0146541425
2022-03-18,887465.0146541425
2022-03-21,887465.0146541425
2022-03-22,887465.0146541425
