symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
WDC,2021-05-26,76.2797,13099.1486,2021-06-02,78.1571,24592.42,2.46,4
AMAT,2021-06-03,136.5878,7483.4902,2021-06-08,136.0669,-3897.7,-0.38,3
NVDA,2021-06-09,17.0052,59783.2441,2021-07-27,18.8173,108334.99,10.66,33
INTU,2021-07-28,511.8256,2194.4197,2021-08-03,518.753,15201.52,1.35,4
NVDA,2021-08-04,19.8616,57222.8527,2021-08-17,19.0622,-45744.2,-4.02,9
AMD,2021-08-18,105.6059,10312.3903,2021-08-24,109.9041,44324.23,4.07,4
NVDA,2021-08-25,21.7612,51998.9578,2021-09-21,20.8175,-49069.28,-4.34,18
PANW,2021-09-22,74.2863,14548.5499,2021-10-19,79.9861,82923.94,7.67,19
AMD,2021-10-20,118.8271,9777.3961,2021-10-26,125.504,65283.11,5.62,4
TSLA,2021-10-27,338.6368,3617.8557,2021-11-09,333.9513,-16951.28,-1.38,9
NVDA,2021-11-10,28.8649,41789.6234,2021-12-07,31.777,121692.64,10.09,18
MRVL,2021-12-08,90.7308,14612.6928,2022-01-04,87.8287,-42407.78,-3.2,18
TSLA,2022-01-05,355.0358,3609.1015,2022-01-25,299.6589,-199860.72,-15.6,13
QCOM,2022-01-26,161.8509,6671.377,2022-02-08,173.0836,74937.34,6.94,9
AAPL,2022-02-09,170.2804,6770.3492,2022-02-15,166.9092,-22824.17,-1.98,4
PANW,2022-02-16,82.1587,13732.2701,2022-02-23,74.5423,-104590.27,-9.27,4
MU,2022-02-24,89.3333,11440.2605,2022-03-01,86.7487,-29568.02,-2.89,3
PANW,2022-03-02,90.8442,10907.0257,2022-03-08,81.962,-96877.78,-9.78,4
AMGN,2022-03-09,229.3991,3890.7319,2022-03-22,234.3645,19318.92,2.16,9
PANW,2022-03-23,94.2746,9656.7817,2022-03-29,96.2209,18794.36,2.06,4
TSLA,2022-03-30,356.9511,2598.946,2022-04-12,322.0257,-90769.22,-9.78,9
COST,2022-04-13,511.4832,1633.6555,2022-04-19,514.2609,4537.74,0.54,3
PANW,2022-04-20,97.7286,8582.7521,2022-04-26,90.6459,-60788.33,-7.25,4
AMGN,2022-04-27,246.5748,3150.143,2022-05-03,230.1226,-51826.71,-6.67,4
TMUS,2022-05-04,130.8086,5532.9536,2022-05-10,121.5492,-51232.25,-7.08,4
AMGN,2022-05-11,238.4974,2815.3296,2022-06-07,244.4298,16701.7,2.49,17
TMUS,2022-06-08,137.696,4989.6025,2022-06-14,124.7676,-64507.58,-9.39,4
AMGN,2022-06-15,236.457,2628.5687,2022-06-22,236.2472,-551.47,-0.09,4
WMT,2022-06-23,40.5228,15299.9593,2022-07-06,41.4552,14265.68,2.3,8
AMGN,2022-07-07,244.3399,2591.6638,2022-07-19,245.9984,4298.27,0.68,8
COST,2022-07-20,520.0316,1224.01,2022-08-02,544.5195,29973.43,4.71,9
CDNS,2022-08-03,181.4565,3667.1587,2022-08-30,174.9624,-23814.9,-3.58,19
AMZN,2022-08-31,129.2236,4957.1992,2022-09-07,126.0165,-15898.23,-2.48,4
COST,2022-09-08,523.5384,1191.2941,2022-09-13,530.6428,8463.43,1.36,3
GILD,2022-09-14,64.3234,9811.9655,2022-09-27,62.4162,-18713.38,-2.97,9
AXON,2022-11-16,185.3815,3298.3038,2022-11-29,183.724,-5466.94,-0.89,8
AMZN,2022-11-30,92.2814,6556.1075,2022-12-06,90.3842,-12438.25,-2.06,4
AXON,2022-12-07,170.0146,3479.814,2022-12-20,166.39,-12612.93,-2.13,9
AXON,2023-01-25,186.7295,3095.8075,2023-02-22,189.5053,8593.34,1.49,19
ABNB,2023-02-23,128.0277,4575.0412,2023-02-28,124.8624,-14481.38,-2.47,3
AXON,2023-03-01,206.7394,2758.7163,2023-05-02,215.686,24681.13,4.33,43
AMD,2023-05-03,83.185,7141.4705,2023-05-16,97.3438,101114.65,17.02,9
APP,2023-05-17,24.5032,28325.4628,2023-05-23,24.7728,7636.54,1.1,4
META,2023-05-24,244.9021,2860.6419,2023-05-31,259.59,42016.82,6.0,4
PLTR,2023-06-01,14.3584,51635.6158,2023-06-21,15.6864,68572.1,9.25,13
NVDA,2023-06-22,42.1846,19170.0288,2023-07-11,42.4043,4211.66,0.52,11
PLTR,2023-07-12,16.6949,48613.0536,2023-07-18,17.7334,50484.66,6.22,4
NVDA,2023-07-19,47.4098,18154.3586,2023-07-25,44.8646,-46206.47,-5.37,3
PLTR,2023-07-26,16.3954,49598.2957,2023-08-15,15.6165,-38632.11,-4.75,14
NVDA,2023-08-16,44.3853,17422.6939,2023-09-19,43.7293,-11429.29,-1.48,23
PLTR,2023-09-20,15.2271,49954.5003,2023-09-26,13.9191,-65340.49,-8.59,4
PDD,2023-09-27,94.1286,7375.1024,2023-10-03,97.4935,24816.48,3.57,4
PLTR,2023-10-04,15.3569,46745.9595,2023-10-24,16.4852,52743.47,7.35,12
PDD,2023-10-25,106.8295,7201.9666,2023-11-07,106.2803,-3955.32,-0.51,8
PLTR,2023-11-08,18.7418,40775.2441,2023-11-28,19.1912,18324.39,2.4,13
PDD,2023-11-29,139.121,5615.7793,2024-01-17,136.3352,-15644.44,-2.0,27
CRWD,2024-01-18,281.8067,2712.506,2024-03-05,305.1217,63242.08,8.27,32
NVDA,2024-03-06,87.7282,9419.0838,2024-03-26,95.5564,73734.47,8.92,14
MSTR,2024-03-27,195.2098,4603.3181,2024-04-16,130.1565,-299461.03,-33.32,13
